Value,Category,Count,Acreage
1, Corn, 17286, 3844.3
2, Cotton, 145216, 32295.3
4, Sorghum, 429, 95.4
5, Soybeans, 9023, 2006.7
10, Peanuts, 89712, 19951.5
24, Winter Wheat, 8391, 1866.1
26, Dbl Crop WinWht/Soybeans, 19, 4.2
27, Rye, 2620, 582.7
28, Oats, 1785, 397.0
29, Millet, 736, 163.7
36, Alfalfa, 2, 0.4
37, Other Hay/Non Alfalfa, 77936, 17332.5
48, Watermelons, 53, 11.8
53, Peas, 453, 100.7
54, Tomatoes, 76, 16.9
57, Herbs, 10, 2.2
58, Clover/Wildflowers, 2, 0.4
59, Sod/Grass Seed, 176, 39.1
61, Fallow/Idle Cropland, 97161, 21608.1
69, Grapes, 13, 2.9
74, Pecans, 101, 22.5
111, Open Water, 5200, 1156.5
121, Developed/Open Space, 44211, 9832.3
122, Developed/Low Intensity, 4810, 1069.7
123, Developed/Medium Intensity, 2129, 473.5
124, Developed/High Intensity, 617, 137.2
131, Barren, 438, 97.4
141, Deciduous Forest, 5324, 1184.0
142, Evergreen Forest, 293623, 65300.2
143, Mixed Forest, 1236, 274.9
152, Shrubland, 175869, 39112.3
176, Grass/Pasture, 10909, 2426.1
190, Woody Wetlands, 156993, 34914.4
195, Herbaceous Wetlands, 1870, 415.9
209, Cantaloupes, 398, 88.5
221, Strawberries, 6, 1.3
222, Squash, 24, 5.3
226, Dbl Crop Oats/Corn, 52, 11.6
236, Dbl Crop WinWht/Sorghum, 17, 3.8
238, Dbl Crop WinWht/Cotton, 992, 220.6
241, Dbl Crop Corn/Soybeans, 72, 16.0